Wavelength (µm) raw,BKR1KW003D anorthite Kierra <45µm raw,Wavelength (µm) bin avg,BKR1KW003D anorthite Kierra <45µm bin avg,Wavelength (µm) cubic spline of bin avg,BKR1KW003D anorthite Kierra <45µm cubic spline of bin avg
0.3,0.345948,0.44602,0.8345195,0.44602,0.8345195
0.305,0.411173,0.456,0.840657,0.45600098039215686,0.8406577089593268
0.31,0.476685,0.46598,0.847901,0.46598196078431375,0.847902325162591
0.315,0.541165,0.47596,0.8535475,0.47596294117647064,0.853548818581041
0.32,0.591556,0.48595,0.857499,0.4859439215686275,0.8574964787858715
0.325,0.635111,0.49593,0.862133,0.4959249019607843,0.8621305935556656
0.33,0.667408,0.50591,0.866355,0.5059058823529412,0.8663535207058098
0.335,0.693042,0.51589,0.8695955,0.5158868627450981,0.8695944512004173
0.34,0.711093,0.52587,0.8731535,0.525867843137255,0.873152751278828
0.345,0.724509,0.53585,0.8763529999999999,0.5358488235294118,0.8763526370722972
0.35,0.732651,0.54583,0.879353,0.5458298039215687,0.8793529446084484
0.355,0.747291,0.55581,0.881948,0.5558107843137255,0.8819481908930412
0.36,0.751818,0.56579,0.884355,0.5657917647058823,0.8843554368628213
0.365,0.766007,0.57577,0.8869180000000001,0.5757727450980392,0.8869187147853624
0.37,0.76925,0.58576,0.8895029999999999,0.5857537254901961,0.8895013835606689
0.375,0.775172,0.59574,0.8919905,0.595734705882353,0.8919892655778414
0.38,0.769768,0.60572,0.894073,0.6057156862745099,0.8940722083664282
0.385,0.770222,0.6157,0.895759,0.6156966666666667,0.8957584478619351
0.39,0.780114,0.62568,0.897376,0.6256776470588236,0.8973756545602959
0.395,0.794442,0.63566,0.898733,0.6356586274509805,0.8987328063075606
0.4,0.802557,0.64564,0.900291,0.6456396078431372,0.9002909353097597
0.405,0.810106,0.65562,0.9019775000000001,0.6556205882352941,0.901977602552021
0.41,0.811639,0.6656,0.9039065,0.665601568627451,0.9039068521852487
0.415,0.815963,0.67558,0.9063095000000001,0.6755825490196079,0.9063100857942071
0.42,0.81413,0.68556,0.908092,0.6855635294117648,0.9080924035615493
0.425,0.822061,0.69555,0.9087965,0.6955445098039216,0.9087961697781068
0.43,0.824488,0.70553,0.9095314999999999,0.7055254901960785,0.9095311504072321
0.435,0.830841,0.71551,0.9100824999999999,0.7155064705882352,0.910082442226062
0.44,0.83039,0.72549,0.910354,0.7254874509803921,0.9103537341542781
0.445,0.83414,0.73547,0.9117505,0.735468431372549,0.9117503937072363
0.45,0.834899,0.74545,0.9113929999999999,0.7454494117647059,0.9113930370244676
0.455,0.840023,0.75543,0.9113279999999999,0.7554303921568628,0.9113280223608519
0.46,0.841291,0.76541,0.9123135,0.7654113725490197,0.9123136531357005
0.465,0.847361,0.77539,0.9130695,0.7753923529411766,0.9130695474630899
0.47,0.848441,0.78537,0.9128099999999999,0.7853733333333334,0.9128098564058177
0.475,0.853121,0.79536,0.9124615,0.7953543137254901,0.9124616736217835
0.48,0.853974,0.80534,0.9123049999999999,0.805335294117647,0.912304936488028
0.485,0.857066,0.81532,0.9124019999999999,0.8153162745098039,0.9124021541723802
0.49,0.857932,0.8253,0.9115685,0.8252972549019608,0.9115686900968563
0.495,0.861894,0.83528,0.9116945000000001,0.8352782352941177,0.9116943135647754
0.5,0.862372,0.84526,0.9127460000000001,0.8452592156862746,0.9127459995731153
0.505,0.865928,0.85524,0.9120225,0.8552401960784315,0.9120224982009333
0.51,0.866782,0.86522,0.9129769999999999,0.8652211764705883,0.9129771242561199
0.515,0.869224,0.8752,0.9131905,0.875202156862745,0.9131903657409337
0.52,0.869967,0.88518,0.91247,0.8851831372549019,0.912469971539015
0.525,0.872916,0.89517,0.9125595,0.8951641176470588,0.9125600354462583
0.53,0.873391,0.90515,0.910675,0.9051450980392157,0.910675814523116
0.535,0.875726,0.91513,0.9097405000000001,0.9151260784313726,0.9097408601710283
0.54,0.87698,0.92511,0.908487,0.9251070588235295,0.9084873651501738
0.545,0.878999,0.93509,0.9074935,0.9350880392156864,0.9074936706260175
0.55,0.879707,0.94507,0.90661,0.9450690196078432,0.9066100902068182
0.555,0.881617,0.95505,0.9055325,0.95505,0.9055325
0.56,0.882279,0.96503,0.9040435,0.9650309803921568,0.9040433609575272
0.565,0.884101,0.97501,0.902942,0.9750119607843137,0.9029418490553555
0.57,0.884609,0.98499,0.902253,0.9849929411764706,0.9022527398259111
0.575,0.886507,0.99497,0.901205,0.9949739215686275,0.9012046417383486
0.58,0.887329,1.00496,0.9003669999999999,1.0049549019607844,0.9003675748097978
0.585,0.88917,1.01494,0.898832,1.0149358823529413,0.898832702598671
0.59,0.889836,1.02492,0.897349,1.0249168627450982,0.8973493511650006
0.595,0.891367,1.0349,0.8965155,1.0348978431372549,0.8965156683215888
0.6,0.892614,1.04488,0.895553,1.0448788235294117,0.8955531362171012
0.605,0.89384,1.05486,0.8944445000000001,1.0548598039215686,0.894444515951897
0.61,0.894306,1.06484,0.8938170000000001,1.0648407843137255,0.8938169367477589
0.615,0.895297,1.07482,0.892837,1.0748217647058824,0.8928368600877786
0.62,0.896221,1.0848,0.8925609999999999,1.0848027450980393,0.8925610556511808
0.625,0.897027,1.09478,0.892828,1.0947837254901962,0.8928279833066062
0.63,0.897725,1.10477,0.8923369999999999,1.104764705882353,0.8923373682596231
0.635,0.898407,1.11475,0.8917660000000001,1.1147456862745098,0.8917661570711929
0.64,0.899059,1.12473,0.8914335,1.1247266666666667,0.8914336880713537
0.645,0.899815,1.13471,0.890782,1.1347076470588235,0.890782079194758
0.65,0.900767,1.14469,0.890614,1.1446886274509804,0.890614075941522
0.655,0.900954,1.15467,0.8897174999999999,1.1546696078431373,0.8897175254845547
0.66,0.903001,1.16465,0.889417,1.1646505882352942,0.8894169737926806
0.665,0.903094,1.17463,0.8889104999999999,1.174631568627451,0.8889105009552821
0.67,0.904719,1.18461,0.8891335,1.184612549019608,0.8891333901927644
0.675,0.906232,1.19459,0.888091,1.1945935294117647,0.8880907362302435
0.68,0.906387,1.20458,0.887953,1.2045745098039216,0.8879530700422748
0.685,0.907881,1.21456,0.887541,1.2145554901960784,0.8875411777988385
0.69,0.908303,1.22454,0.8874015,1.2245364705882353,0.8874014836026712
0.695,0.908271,1.23452,0.887456,1.2345174509803922,0.887456012071275
0.7,0.909322,1.2445,0.8873409999999999,1.2444984313725491,0.8873410060794479
0.705,0.909122,1.25448,0.8873605,1.254479411764706,0.8873605049859179
0.71,0.909941,1.26446,0.8872715,1.264460392156863,0.8872715066246953
0.715,0.909631,1.27444,0.8876185,1.2744413725490196,0.8876185253401253
0.72,0.910534,1.28442,0.8876975,1.2844223529411765,0.8876975877773844
0.725,0.910115,1.2944,0.888298,1.2944033333333334,0.8882981220330436
0.73,0.910593,1.30438,0.8883335,1.3043843137254902,0.8883335318258012
0.735,0.911344,1.31437,0.8887735,1.3143652941176471,0.8887731391760082
0.74,0.912157,1.32435,0.8894435,1.324346274509804,0.8894434274233916
0.745,0.911704,1.33433,0.889389,1.334327254901961,0.8893889162509675
0.75,0.911082,1.34431,0.8903114999999999,1.3443082352941178,0.8903112894117989
0.755,0.912472,1.35429,0.891238,1.3542892156862745,0.8912379623891422
0.76,0.910184,1.36427,0.8914120000000001,1.3642701960784314,0.8914120038597935
0.765,0.9123,1.37425,0.8917505,1.3742511764705883,0.8917505321988135
0.77,0.912327,1.38423,0.8919895,1.3842321568627451,0.8919895958373406
0.775,0.912824,1.39421,0.892518,1.394213137254902,0.8925180803859201
0.78,0.913315,1.40419,0.892554,1.404194117647059,0.8925540935475149
0.785,0.91204,1.41418,0.8931895000000001,1.4141750980392158,0.8931890824371441
0.79,0.91358,1.42416,0.8944245,1.4241560784313727,0.8944237211281324
0.795,0.911514,1.43414,0.8965615,1.4341370588235294,0.8965611062615392
0.8,0.913409,1.44412,0.8970555,1.4441180392156863,0.8970553883735756
0.805,0.911833,1.4541,0.898136,1.4540990196078432,0.8981358905040142
0.81,0.912777,1.46408,0.8992165,1.46408,0.8992165
0.815,0.911708,1.47406,0.9007704999999999,1.474060980392157,0.9007705946503877
0.82,0.913096,1.48404,0.9011465000000001,1.4840419607843138,0.9011465941724459
0.825,0.912818,1.49402,0.9021585,1.4940229411764707,0.9021588783221433
0.83,0.910319,1.504,0.903225,1.5040039215686276,0.9032252440938329
0.835,0.911686,1.51399,0.903796,1.5139849019607845,0.9037954169968296
0.84,0.911703,1.52397,0.9053215,1.5239658823529412,0.9053210459817119
0.845,0.913032,1.53395,0.9057729999999999,1.533946862745098,0.9057728776140664
0.85,0.91246,1.54393,0.9064225,1.543927843137255,0.9064223605608043
0.855,0.911221,1.55391,0.907075,1.5539088235294118,0.9070748896752059
0.86,0.912824,1.56389,0.9082785,1.5638898039215687,0.9082784768348127
0.865,0.912886,1.57387,0.9092915,1.5738707843137256,0.9092915783793032
0.87,0.913068,1.58385,0.9101505,1.5838517647058825,0.9101505791316887
0.875,0.913266,1.59383,0.910363,1.5938327450980394,0.9103631173975705
0.88,0.913115,1.60381,0.91101,1.6038137254901963,0.9110101583203558
0.885,0.912706,1.6138,0.9112125,1.613794705882353,0.9112122750125267
0.89,0.912234,1.62378,0.9117735,1.6237756862745099,0.9117734270919797
0.895,0.912738,1.63376,0.9118785,1.6337566666666667,0.9118781994463085
0.9,0.912381,1.64374,0.9133985,1.6437376470588236,0.9133982393791003
0.905,0.910841,1.65372,0.9138465,1.6537186274509805,0.9138464198014936
0.91,0.910509,1.6637,0.915073,1.6636996078431374,0.915072937704202
0.915,0.910286,1.67368,0.916688,1.6736805882352943,0.9166880942920737
0.92,0.909195,1.68366,0.9180655,1.683661568627451,0.9180656560759066
0.925,0.908867,1.69364,0.9185585,1.6936425490196079,0.9185585100412471
0.93,0.908107,1.70362,0.9184705,1.7036235294117648,0.9184705227756144
0.935,0.90807,1.7136,0.9187005,1.7136045098039216,0.918700558482888
0.94,0.906917,1.72359,0.918585,1.7235854901960785,0.9185851077189473
0.945,0.907209,1.73357,0.9184105,1.7335664705882354,0.9184105161960545
0.95,0.906011,1.74355,0.9183574999999999,1.7435474509803923,0.9183575666891549
0.955,0.906245,1.75353,0.9180440000000001,1.7535284313725492,0.9180440014214644
0.96,0.90482,1.76351,0.9184365,1.763509411764706,0.9184364685268215
0.965,0.904859,1.77349,0.918876,1.7734903921568628,0.9188760145023415
0.97,0.903228,1.78347,0.9191715,1.7834713725490197,0.9191715267809072
0.975,0.903667,1.79345,0.9192389999999999,1.7934523529411766,0.9192389860702211
0.98,0.902217,1.80343,0.919338,1.8034333333333334,0.9193381807651942
0.985,0.902253,1.81341,0.9201385,1.8134143137254903,0.9201387564843458
0.99,0.901362,1.8234,0.920355,1.8233952941176472,0.9203549362311012
0.995,0.901048,1.83338,0.9205589999999999,1.8333762745098041,0.9205589529226025
1.0,0.900987,1.84336,0.9204395000000001,1.8433572549019608,0.9204396061392061
1.005,0.899747,1.85334,0.92023,1.8533382352941177,0.9202299238597441
1.01,0.898925,1.86332,0.9206275,1.8633192156862746,0.9206275607519276
1.015,0.898739,1.8733,0.9190045,1.8733001960784315,0.9190044800704158
1.02,0.897516,1.88328,0.919065,1.8832811764705883,0.919065016890071
1.025,0.897182,1.89326,0.918363,1.8932621568627452,0.9183626793274372
1.03,0.896422,1.90324,0.9167879999999999,1.9032431372549021,0.9167876732235869
1.035,0.896609,1.91322,0.9161805000000001,1.913224117647059,0.9161801267008829
1.04,0.895674,1.92321,0.915144,1.923205098039216,0.9151441333075336
1.045,0.895432,1.93319,0.9157005,1.9331860784313726,0.9157002831718076
1.05,0.894533,1.94317,0.9159065,1.9431670588235295,0.9159063962655323
1.055,0.894356,1.95315,0.9164865,1.9531480392156864,0.9164864218200764
1.06,0.893754,1.96313,0.9165995,1.9631290196078433,0.9165994866819421
1.065,0.89388,1.97311,0.9169695,1.9731100000000001,0.9169695
1.07,0.893085,1.98309,0.9174340000000001,1.983090980392157,0.9174340326896546
1.075,0.892589,1.99307,0.9178554999999999,1.993071960784314,0.9178556607539324
1.08,0.892353,2.00305,0.9188405,2.0030529411764704,0.9188406810018075
1.085,0.892769,2.01303,0.9188035,2.0130339215686273,0.9188033302908023
1.09,0.892965,2.02301,0.91852,2.023014901960784,0.9185200745441964
1.095,0.892691,2.033,0.9190115,2.032995882352941,0.9190113150903392
1.1,0.892508,2.04298,0.9192005,2.042976862745098,0.9192004697616725
1.105,0.892166,2.05296,0.9191555,2.052957843137255,0.9191555866050395
1.11,0.891865,2.06294,0.9186544999999999,2.0629388235294117,0.918654515431256
1.115,0.891667,2.07292,0.9190365,2.0729198039215686,0.9190364888586479
1.12,0.891786,2.0829,0.9194445,2.0829007843137255,0.9194445182726414
1.125,0.891081,2.09288,0.9195955,2.0928817647058824,0.919595531802484
1.13,0.890723,2.10286,0.9197675000000001,2.1028627450980393,0.9197675046967897
1.135,0.890841,2.11284,0.9196175,2.112843725490196,0.9196174319015497
1.14,0.890625,2.12282,0.919605,2.122824705882353,0.9196051062539544
1.145,0.890603,2.13281,0.9197500000000001,2.13280568627451,0.9197501388288434
1.15,0.889703,2.14279,0.9189514999999999,2.142786666666667,0.9189518008865625
1.155,0.889732,2.15277,0.9182255,2.1527676470588237,0.9182256529851704
1.16,0.889428,2.16275,0.9177355,2.16274862745098,0.9177355208690753
1.165,0.889406,2.17273,0.9178415,2.172729607843137,0.9178414959297009
1.17,0.888838,2.18271,0.917979,2.182710588235294,0.9179790275792086
1.175,0.888983,2.19269,0.9187685,2.192691568627451,0.9187686266678046
1.18,0.889109,2.20267,0.919002,2.2026725490196077,0.919001840899926
1.185,0.889158,2.21265,0.9180545,2.2126535294117646,0.9180543383874314
1.19,0.88822,2.22263,0.918147,2.2226345098039215,0.9181469489281435
1.195,0.887962,2.23262,0.917538,2.2326154901960784,0.9175382888051729
1.2,0.888286,2.2426,0.917478,2.2425964705882353,0.9174777654562464
1.205,0.88762,2.25258,0.9185464999999999,2.252577450980392,0.918546241911494
1.21,0.887483,2.26256,0.9192024999999999,2.262558431372549,0.9192024263447844
1.215,0.887599,2.27254,0.9196545,2.272539411764706,0.9196544741118194
1.22,0.887321,2.28252,0.9201969999999999,2.282520392156863,0.9201970297862321
1.225,0.887482,2.2925,0.921045,2.2925013725490198,0.9210450962930969
1.23,0.887409,2.30248,0.92152,2.3024823529411766,0.921520096699286
1.235,0.887503,2.31246,0.9220345,2.3124633333333335,0.9220347096916701
1.24,0.887007,2.32244,0.9227055,2.32244431372549,0.9227057745650198
1.245,0.887675,2.33242,0.923134,2.332425294117647,0.9231340686663426
1.25,0.887315,2.34241,0.9232155,2.3424062745098038,0.9232153596270373
1.255,0.887406,2.35239,0.9236545,2.3523872549019607,0.9236545199577351
1.26,0.887284,2.36237,0.9227354999999999,2.3623682352941175,0.9227357696187596
1.265,0.887259,2.37235,0.9212119999999999,2.3723492156862744,0.9212120907938849
1.27,0.887362,2.38233,0.920619,2.3823301960784313,0.9206189959988393
1.275,0.887875,2.39231,0.9206019999999999,2.392311176470588,0.9206020164900756
1.28,0.887845,2.40229,0.920595,2.402292156862745,0.9205949075064321
1.285,0.88755,2.41227,0.9197845,2.412273137254902,0.9197842230569759
1.29,0.888248,2.42225,0.9191435,2.422254117647059,0.9191433340105671
1.295,0.888348,2.43223,0.918821,2.432235098039216,0.9188207957114568
1.3,0.88833,2.44222,0.9183030000000001,2.4422160784313727,0.9183032036040145
1.305,0.888337,2.4522,0.9180085,2.452197058823529,0.9180084893120694
1.31,0.888721,2.46218,0.9181995000000001,2.462178039215686,0.9181994877980352
1.315,0.888826,2.47216,0.918213,2.472159019607843,0.9182129676863757
1.32,0.889486,2.48214,0.9187535,2.48214,0.9187535
1.325,0.889401,2.49212,0.919062,2.4921209803921567,0.9190621063249506
1.33,0.889254,2.5021,0.9205851428571429,2.5021019607843136,0.9205853161168381
1.335,0.889524,2.51208,0.920485375,2.5120829411764705,0.9204852745914686
1.34,0.890181,2.52206,0.9204688888888888,2.5220639215686274,0.9204689409326069
1.345,0.890442,2.53204,0.9205773749999999,2.5320449019607842,0.9205774177415341
1.35,0.891436,2.54203,0.92064475,2.542025882352941,0.9206447306735994
1.355,0.89104,2.55201,0.9206923750000001,2.552006862745098,0.9206923528685217
1.36,0.891395,2.56199,0.9207554285714284,2.561987843137255,0.9207554278023465
1.365,0.891429,2.57197,0.920709625,2.571968823529412,0.9207096288681923
1.37,0.892174,2.58195,0.920727,2.5819498039215687,0.9207269991669654
1.375,0.891327,2.59193,0.9207047500000001,2.5919307843137256,0.9207047380989922
1.38,0.891614,2.60191,0.9204148571428572,2.601911764705882,0.9204147911597077
1.385,0.892365,2.61189,0.9200623750000001,2.611892745098039,0.920062297139782
1.39,0.892831,2.62187,0.9197765000000001,2.621873725490196,0.9197763470923253
1.395,0.892205,2.63185,0.9191825714285713,2.6318547058823527,0.919182232753506
1.4,0.89245,2.64183,0.9183141428571429,2.6418356862745096,0.9183135133378483
1.405,0.892658,2.65182,0.91645825,2.6518166666666665,0.9164592618796372
1.41,0.892988,2.6618,0.9115272857142857,2.6617976470588234,0.9115289669392947
1.415,0.893391,2.67178,0.9022082857142857,2.6717786274509803,0.9022098251633872
1.42,0.893775,2.68176,0.8908264999999999,2.681759607843137,0.8908269006395428
1.425,0.895074,2.69174,0.8822672857142857,2.691740588235294,0.8822668232515539
1.43,0.896509,2.70172,0.8739292857142857,2.701721568627451,0.8739278535932116
1.435,0.896614,2.7117,0.8640461428571429,2.711702549019608,0.8640434937247224
1.44,0.897011,2.72168,0.8532621428571429,2.7216835294117647,0.8532581103008762
1.445,0.8971,2.73166,0.8409755714285714,2.7316645098039216,0.8409695927651616
1.45,0.897968,2.74164,0.8271544285714286,2.7416454901960785,0.827146726725603
1.455,0.898304,2.75163,0.8134483333333332,2.7516264705882354,0.8134530400931397
1.46,0.899176,2.76161,0.8004490000000001,2.7616074509803923,0.800452279064443
1.465,0.899257,2.77159,0.7880007142857142,2.7715884313725487,0.7880025502538235
1.47,0.900644,2.78157,0.7774868571428571,2.7815694117647056,0.7774874067937249
1.475,0.900897,2.79155,0.769146,2.7915503921568625,0.7691457020632377
1.48,0.900965,2.80153,0.7620287142857143,2.8015313725490194,0.7620277900536178
1.485,0.901328,2.81151,0.7556893333333333,2.8115123529411763,0.7556879407607301
1.49,0.901928,2.82149,0.7501730000000001,2.821493333333333,0.7501712565254506
1.495,0.902389,2.83147,0.7451705,2.83147431372549,0.745168438419388
1.5,0.903146,2.84145,0.7406178571428572,2.841455294117647,0.7406155407567039
1.505,0.903304,2.85144,0.7364916666666667,2.851436274509804,0.7364930806525448
1.51,0.903548,2.86142,0.7329175000000001,2.8614172549019607,0.7329184821632387
1.515,0.904044,2.8714,0.7293281428571429,2.8713982352941176,0.7293287475645701
1.52,0.904827,2.88138,0.7262311666666666,2.8813792156862745,0.726231387437868
1.525,0.905816,2.89136,0.7236750000000001,2.8913601960784314,0.7236749547539856
1.53,0.905792,2.90134,0.7215548333333334,2.9013411764705883,0.7215545966169195
1.535,0.905754,2.91132,0.719658,2.911322156862745,0.71965762919936
1.54,0.906497,2.9213,0.7181266666666667,2.9213031372549016,0.7181262223950294
1.545,0.906348,2.93128,0.7168078571428571,2.9312841176470585,0.7168073697205772
1.55,0.906523,2.94126,0.7158653333333334,2.9412650980392154,0.7158650039880847
1.555,0.907627,2.95125,0.7154224,2.9512460784313723,0.7154225549203606
1.56,0.907971,2.96123,0.7150545,2.961227058823529,0.7150545616688613
1.565,0.908586,2.97121,0.7150596666666665,2.971208039215686,0.7150596386179189
1.57,0.909174,2.98119,0.7153051666666667,2.981189019607843,0.7153051283495637
1.575,0.909409,2.99117,0.7159235,2.99117,0.7159235
1.58,0.910165,,,,
1.585,0.910136,,,,
1.59,0.910072,,,,
1.595,0.910654,,,,
1.6,0.910951,,,,
1.605,0.911069,,,,
1.61,0.910997,,,,
1.615,0.911428,,,,
1.62,0.91144,,,,
1.625,0.912107,,,,
1.63,0.911858,,,,
1.635,0.911899,,,,
1.64,0.912717,,,,
1.645,0.91408,,,,
1.65,0.914228,,,,
1.655,0.913465,,,,
1.66,0.914322,,,,
1.665,0.915824,,,,
1.67,0.916654,,,,
1.675,0.916722,,,,
1.68,0.917889,,,,
1.685,0.918242,,,,
