Wavelength (Âµm),Pigeonite hs199.17843
0.2211,0.041317
0.2291,0.046274
0.2361,0.044557
0.2421,0.043805
0.2481,0.045288
0.2536,0.045556
0.2586,0.046391
0.2636,0.046498
0.2686,0.047785
0.2731,0.04864
0.2771,0.052394
0.2811,0.052813
0.2851,0.054641
0.2891,0.055748
0.2931,0.059602
0.2971,0.061993
0.3011,0.066997
0.3051,0.071523
0.3091,0.077046
0.3131,0.079934
0.3171,0.087208
0.3211,0.089264
0.3251,0.094608
0.3291,0.097637
0.3331,0.101027
0.3371,0.103581
0.3411,0.107473
0.3451,0.107436
0.3491,0.109603
0.3531,0.113135
0.3571,0.115178
0.3606,0.117811
0.3636,0.118292
0.3666,0.120078
0.3696,0.120881
0.3726,0.12359
0.3756,0.125011
0.3786,0.124909
0.3811,0.127752
0.3831,0.12756
0.3851,0.128903
0.3871,0.130385
0.3891,0.132452
0.3911,0.133661
0.3931,0.133791
0.3951,0.134751
0.3971,0.133492
0.3991,0.135575
0.4011,0.137636
0.4031,0.136558
0.4051,0.140101
0.4071,0.13846
0.4091,0.139194
0.4111,0.139974
0.4128,0.140324
0.4158,0.142064
0.4188,0.141129
0.4218,0.144358
0.4248,0.143867
0.4278,0.143594
0.4308,0.145448
0.4338,0.146181
0.4368,0.1473
0.4398,0.148405
0.4428,0.150081
0.4458,0.148846
0.4488,0.15078
0.4513,0.150082
0.4533,0.150321
0.4553,0.153714
0.4573,0.154082
0.4593,0.152983
0.4613,0.15635
0.4633,0.15386
0.4653,0.156979
0.4673,0.157923
0.4693,0.156174
0.4713,0.156178
0.4733,0.157505
0.4753,0.155549
0.4773,0.157989
0.4793,0.156233
0.4813,0.156958
0.4833,0.160891
0.4853,0.158298
0.4873,0.161257
0.4893,0.160121
0.4913,0.161745
0.4933,0.162463
0.4953,0.159938
0.4973,0.162902
0.4993,0.162209
0.5013,0.161503
0.5033,0.164293
0.5053,0.161683
0.5073,0.162422
0.5093,0.161305
0.5113,0.163994
0.5133,0.165809
0.5153,0.16518
0.5173,0.1666
0.5193,0.163972
0.5213,0.16598
0.5233,0.16866
0.5253,0.167238
0.5273,0.169375
0.5293,0.16737
0.5313,0.167299
0.5333,0.169237
0.5353,0.169784
0.5373,0.171222
0.5393,0.169726
0.5413,0.171732
0.5433,0.17006
0.5453,0.170052
0.5473,0.171583
0.5493,0.170675
0.5513,0.171256
0.5533,0.171164
0.5553,0.172894
0.5573,0.170987
0.5593,0.171702
0.5613,0.170005
0.5633,0.174516
0.5653,0.172108
0.5673,0.174276
0.5693,0.173623
0.5713,0.174707
0.5733,0.176139
0.5753,0.173605
0.5773,0.175219
0.5793,0.173548
0.5813,0.17303
0.5833,0.177534
0.5853,0.176615
0.5873,0.173193
0.5893,0.176095
0.5913,0.177501
0.5933,0.176629
0.5953,0.173661
0.5973,0.177578
0.5993,0.175684
0.6011,0.17488
0.6027,0.176104
0.6043,0.175577
0.6059,0.176271
0.6075,0.176608
0.6091,0.177811
0.6107,0.176164
0.6123,0.176896
0.6139,0.176054
0.6155,0.178135
0.6171,0.175013
0.6187,0.177828
0.6203,0.17921
0.6219,0.175524
0.6235,0.176647
0.6251,0.17953
0.6267,0.177202
0.6283,0.177005
0.6299,0.176948
0.6317,0.17847
0.6337,0.178286
0.6357,0.177796
0.6377,0.179267
0.6397,0.17835
0.6417,0.17708
0.6437,0.175831
0.6457,0.180298
0.6477,0.177393
0.6497,0.177962
0.6517,0.177052
0.6537,0.179357
0.6557,0.178511
0.6577,0.177373
0.6597,0.179246
0.6617,0.178942
0.6637,0.177793
0.6657,0.178641
0.6677,0.179802
0.6702,0.178487
0.6732,0.179276
0.6762,0.179829
0.6792,0.179812
0.6822,0.180623
0.6852,0.179853
0.6882,0.180276
0.6912,0.181
0.6942,0.180004
0.6972,0.181538
0.7002,0.183409
0.702,0.183196
0.704,0.182676
0.706,0.182374
0.708,0.181446
0.71,0.181745
0.712,0.181642
0.714,0.182055
0.716,0.18319
0.718,0.183986
0.72,0.184698
0.722,0.183028
0.724,0.183441
0.726,0.183511
0.728,0.184904
0.73,0.183072
0.732,0.184701
0.734,0.18218
0.736,0.185994
0.738,0.186437
0.74,0.183127
0.742,0.183792
0.744,0.185233
0.746,0.186424
0.748,0.185552
0.7505,0.185391
0.7535,0.185281
0.7565,0.185583
0.7595,0.184782
0.7625,0.184501
0.7655,0.184081
0.7685,0.187947
0.7715,0.184323
0.7745,0.185978
0.7775,0.185518
0.781,0.183993
0.785,0.186326
0.789,0.184652
0.793,0.18558
0.797,0.184411
0.8015,0.183175
0.8065,0.184469
0.8115,0.183912
0.8165,0.182263
0.822,0.180918
0.828,0.179894
0.835,0.176178
0.851,0.171975
0.859,0.174073
0.871,0.17331
0.883,0.167971
0.894,0.165944
0.904,0.163066
0.914,0.160929
0.924,0.162061
0.933,0.156285
0.941,0.158442
0.949,0.155599
0.957,0.154798
0.964,0.158281
0.97,0.154667
0.976,0.154377
0.982,0.154384
0.988,0.155564
0.994,0.154103
1,0.152978
1.006,0.154258
1.012,0.152877
1.018,0.152976
1.0235,0.156354
1.0285,0.155117
1.0335,0.157206
1.0385,0.153461
1.0435,0.157347
1.0485,0.157652
1.0535,0.15544
1.0585,0.15911
1.0635,0.158845
1.0685,0.158094
1.0735,0.158666
1.0785,0.159907
1.0835,0.15746
1.0885,0.160941
1.0935,0.162407
1.0985,0.162947
1.1035,0.166158
1.1085,0.162555
1.1135,0.165415
1.1185,0.167979
1.1235,0.165647
1.1285,0.168482
1.1335,0.168449
1.1385,0.16886
1.1435,0.169409
1.1485,0.168443
1.1535,0.173041
1.1585,0.172166
1.1635,0.171342
1.1685,0.17286
1.1735,0.172937
1.1785,0.174014
1.1835,0.174687
1.1885,0.174274
1.1935,0.173466
1.1985,0.175587
1.2035,0.175044
1.2085,0.177689
1.2135,0.176854
1.2185,0.176804
1.2235,0.178245
1.2285,0.178851
1.2335,0.178256
1.2385,0.180209
1.2435,0.180669
1.2485,0.179933
1.2535,0.181008
1.2585,0.180295
1.2635,0.183076
1.2685,0.182017
1.2735,0.185377
1.2785,0.184688
1.2835,0.184701
1.2885,0.184369
1.2935,0.184462
1.2985,0.186607
1.3035,0.187073
1.3085,0.188592
1.3135,0.188091
1.3185,0.188943
1.3235,0.189957
1.3285,0.189349
1.3335,0.190078
1.3385,0.189482
1.3435,0.193048
1.3485,0.191238
1.3535,0.192668
1.3585,0.193168
1.3635,0.194216
1.3685,0.193219
1.3735,0.196407
1.3785,0.194
1.3835,0.196095
1.3885,0.198207
1.3935,0.19518
1.3985,0.19497
1.4035,0.193995
1.4085,0.194252
1.4135,0.196892
1.4185,0.196278
1.4235,0.198587
1.4285,0.200747
1.4335,0.20039
1.4385,0.200459
1.4435,0.20353
1.4485,0.200152
1.4535,0.202461
1.4585,0.204178
1.4635,0.205085
1.4685,0.202505
1.4735,0.203492
1.4785,0.203347
1.4835,0.203245
1.4885,0.204475
1.4935,0.205786
1.4985,0.204411
1.5035,0.205344
1.5085,0.202957
1.5135,0.20558
1.5185,0.205744
1.5235,0.203121
1.5285,0.205105
1.534,0.202129
1.54,0.2083
1.546,0.205897
1.552,0.203454
1.558,0.204971
1.564,0.205712
1.5705,0.204836
1.5775,0.20371
1.5845,0.203544
1.5915,0.203678
1.5985,0.202614
1.6055,0.204658
1.6125,0.201575
1.6195,0.200686
1.6265,0.200219
1.6335,0.199918
1.6405,0.200198
1.6475,0.199747
1.6545,0.196941
1.6615,0.199702
1.6685,0.196699
1.676,0.195775
1.684,0.1973
1.692,0.193234
1.7,0.195208
1.708,0.195256
1.716,0.194152
1.724,0.192795
1.732,0.18865
1.74,0.190962
1.748,0.190888
1.756,0.189168
1.764,0.189727
1.772,0.1888
1.78,0.188673
1.788,0.188548
1.796,0.184113
1.805,0.185358
1.815,0.185084
1.825,0.185697
1.835,0.182893
1.845,0.180297
1.855,0.182877
1.865,0.180461
1.875,0.182114
1.885,0.17958
1.895,0.177423
1.905,0.174679
1.915,0.179187
1.925,0.174379
1.935,0.175723
1.945,0.176504
1.955,0.175437
1.965,0.174946
1.975,0.173504
1.985,0.178306
1.995,0.174645
2.005,0.175088
2.015,0.176954
2.025,0.176379
2.035,0.176944
2.045,0.176157
2.055,0.178327
2.065,0.175834
2.075,0.172553
2.085,0.174366
2.095,0.174001
2.105,0.177019
2.115,0.176583
2.125,0.176666
2.135,0.181494
2.145,0.180052
2.155,0.178399
2.165,0.175584
2.175,0.180334
2.185,0.178498
2.195,0.176369
2.205,0.176585
2.215,0.180171
2.225,0.180932
2.235,0.178918
2.245,0.181383
2.255,0.181899
2.265,0.182676
2.275,0.178754
2.285,0.180353
2.295,0.181696
2.305,0.179006
2.315,0.183215
2.325,0.182427
2.335,0.180616
2.345,0.178365
2.355,0.185261
2.365,0.184495
2.375,0.186536
2.386,0.193993
2.4,0.191595
2.418,0.190593
2.44,0.19482
2.466,0.195567
2.496,0.20313
2.528,0.203127
2.56,0.206631
2.592,0.211189
2.624,0.214248
2.656,0.216876
2.688,0.208821
2.72,0.141732
2.752,0.090418
2.784,0.084213
2.816,0.074119
2.848,0.079029
2.88,0.089283
2.912,0.079238
2.944,0.076135
2.976,0.117251