Wavelength (µm) M3 targeted images,,"average every 4 channels, step n",,"average every 4 channels, step n, sort",,"average every 4 channels, step n, sort, round 0.0001",,Wavelength (µm) M3 global images,,difference
0.44602,,0.46099,step 4,0.46099,step 4,0.4610,,0.461,,0.0000
0.456,,,,0.50092,,0.5009,,0.5009,,0.0000
0.46598,,,,0.54084,,0.5408,,0.5408,,0.0000
0.47596,,,,0.580765,,0.5808,,0.5808,,0.0000
0.48595,,0.50092,,0.62069,,0.6207,,0.6207,,0.0000
0.49593,,,,0.66061,,0.6606,,0.6606,,0.0000
0.50591,,,,0.7005375,,0.7005,,0.7005,,0.0000
0.51589,,,,0.73048,step 3,0.7305,,0.7305,,0.0000
0.52587,,0.54084,,0.75044,step 2,0.7504,,0.7504,,0.0000
0.53585,,,,0.7704,,0.7704,,0.7704,,0.0000
0.54583,,,,0.790365,,0.7904,,0.7904,,0.0000
0.55581,,,,0.81033,,0.8103,,0.8103,,0.0000
0.56579,,0.580765,,0.83029,,0.8303,,0.8303,,0.0000
0.57577,,,,0.85025,,0.8503,,0.8502,,0.0000
0.58576,,,,0.87021,,0.8702,,0.8702,,0.0000
0.59574,,,,0.890175,,0.8902,,0.8902,,0.0000
0.60572,,0.62069,,0.91014,,0.9101,,0.9101,,0.0000
0.6157,,,,0.9301,,0.9301,,0.9301,,0.0000
0.62568,,,,0.95006,,0.9501,,0.9501,,0.0000
0.63566,,,,0.97002,,0.9700,,0.97,,0.0000
0.64564,,0.66061,,0.9899925,,0.9900,,0.99,,0.0000
0.65562,,,,1.0099425,,1.0099,,1.01,,0.0001
0.6656,,,,1.0299,,1.0299,,1.0299,,0.0000
0.67558,,,,1.049875,,1.0499,,1.0499,,0.0000
0.68556,,0.7005375,,1.069825,,1.0698,,1.0698,,0.0000
0.69555,,,,1.0898,,1.0898,,1.0898,,0.0000
0.70553,,,,1.109775,,1.1098,,1.1098,,0.0000
0.71551,,0.73048,step 3,1.129725,,1.1297,,1.1297,,0.0000
0.72549,,,,1.1497,,1.1497,,1.1497,,0.0000
0.73547,,0.75044,step 2,1.16965,,1.1697,,1.1696,,0.0000
0.74545,,,,1.1896,,1.1896,,1.1896,,0.0000
0.75543,,0.7704,,1.209575,,1.2096,,1.2096,,0.0000
0.76541,,,,1.229525,,1.2295,,1.2295,,0.0000
0.77539,,0.790365,,1.2495,,1.2495,,1.2495,,0.0000
0.78537,,,,1.26945,,1.2695,,1.2694,,0.0000
0.79536,,0.81033,,1.2894,,1.2894,,1.2894,,0.0000
0.80534,,,,1.3094,,1.3094,,1.3094,,0.0000
0.81532,,0.83029,,1.32935,,1.3294,,1.3293,,0.0000
0.8253,,,,1.3493,,1.3493,,1.3493,,0.0000
0.83528,,0.85025,,1.369275,,1.3693,,1.3693,,0.0000
0.84526,,,,1.389225,,1.3892,,1.3892,,0.0000
0.85524,,0.87021,,1.4092,,1.4092,,1.4092,,0.0000
0.86522,,,,1.42915,,1.4292,,1.4292,,0.0001
0.8752,,0.890175,,1.4491,,1.4491,,1.4491,,0.0000
0.88518,,,,1.469075,,1.4691,,1.4691,,0.0000
0.89517,,0.91014,,1.489025,,1.4890,,1.489,,0.0000
0.90515,,,,1.509,,1.5090,,1.509,,0.0000
0.91513,,0.9301,,1.528975,,1.5290,,1.529,,0.0000
0.92511,,,,1.548925,,1.5489,,1.5489,,0.0000
0.93509,,0.95006,,1.578875,step 3,1.5789,,1.5789,,0.0000
0.94507,,,,1.6188,step 4,1.6188,,1.6188,,0.0000
0.95505,,0.97002,,1.6587,step 5,1.6587,,1.6587,,0.0000
0.96503,,,,1.698625,step 4,1.6986,,1.6986,,0.0000
0.97501,,0.9899925,,1.738575,,1.7386,,1.7386,,0.0000
0.98499,,,,1.7785,,1.7785,,1.7785,,0.0000
0.99497,,1.0099425,,1.8184,,1.8184,,1.8184,,0.0000
1.005,,,,1.858325,,1.8583,,1.8583,,0.0000
1.0149,,1.0299,,1.89825,,1.8983,,1.8982,,0.0000
1.0249,,,,1.9382,,1.9382,,1.9382,,0.0000
1.0349,,1.049875,,1.9781,,1.9781,,1.9781,,0.0000
1.0449,,,,2.018025,,2.0180,,2.018,,0.0000
1.0549,,1.069825,,2.05795,,2.0580,,2.0579,,0.0000
1.0648,,,,2.097875,,2.0979,,2.0979,,0.0000
1.0748,,1.0898,,2.1378,,2.1378,,2.1378,,0.0000
1.0848,,,,2.177725,,2.1777,,2.1777,,0.0000
1.0948,,1.109775,,2.21765,,2.2177,,2.2176,,0.0000
1.1048,,,,2.257575,,2.2576,,2.2576,,0.0000
1.1148,,1.129725,,2.2975,,2.2975,,2.2975,,0.0000
1.1247,,,,2.3374,,2.3374,,2.3374,,0.0000
1.1347,,1.1497,,2.37735,,2.3774,,2.3773,,0.0000
1.1447,,,,2.417275,,2.4173,,2.4173,,0.0000
1.1547,,1.16965,,2.4572,,2.4572,,2.4572,,0.0000
1.1647,,,,2.4971,,2.4971,,2.4971,,0.0000
1.1746,,1.1896,,2.537025,,2.5370,,2.537,,0.0000
1.1846,,,,2.57695,,2.5770,,2.577,,0.0000
1.1946,,1.209575,,2.6169,,2.6169,,2.6169,,0.0000
1.2046,,,,2.6568,,2.6568,,2.6568,,0.0000
1.2146,,1.229525,,2.696725,,2.6967,,2.6967,,0.0000
1.2245,,,,2.73665,,2.7367,,2.7367,,0.0000
1.2345,,1.2495,,2.7766,,2.7766,,2.7766,,0.0000
1.2445,,,,2.8165,,2.8165,,2.8165,,0.0000
1.2545,,1.26945,,2.8564,,2.8564,,2.8564,,0.0000
1.2645,,,,2.89635,,2.8964,,2.8963,,0.0000
1.2744,,1.2894,,2.9363,,2.9363,,2.9363,,0.0000
1.2844,,,,2.9762,,2.9762,,2.9762,,0.0000
1.2944,,1.3094,,,,,,,,
1.3044,,,,,,,,,,
1.3144,,1.32935,,,,,,,,
1.3244,,,,,,,,,,
1.3343,,1.3493,,,,,,,,
1.3443,,,,,,,,,,
1.3543,,1.369275,,,,,,,,
1.3643,,,,,,,,,,
1.3743,,1.389225,,,,,,,,
1.3842,,,,,,,,,,
1.3942,,1.4092,,,,,,,,
1.4042,,,,,,,,,,
1.4142,,1.42915,,,,,,,,
1.4242,,,,,,,,,,
1.4341,,1.4491,,,,,,,,
1.4441,,,,,,,,,,
1.4541,,1.469075,,,,,,,,
1.4641,,,,,,,,,,
1.4741,,1.489025,,,,,,,,
1.484,,,,,,,,,,
1.494,,1.509,,,,,,,,
1.504,,,,,,,,,,
1.514,,1.528975,,,,,,,,
1.524,,,,,,,,,,
1.534,,1.548925,,,,,,,,
1.5439,,,,,,,,,,
1.5539,,,,,,,,,,
1.5639,,1.578875,step 3,,,,,,,
1.5739,,,,,,,,,,
1.5839,,,,,,,,,,
1.5938,,,,,,,,,,
1.6038,,1.6188,step 4,,,,,,,
1.6138,,,,,,,,,,
1.6238,,,,,,,,,,
1.6338,,,,,,,,,,
1.6437,,,,,,,,,,
1.6537,,1.6587,step 5,,,,,,,
1.6637,,,,,,,,,,
1.6737,,,,,,,,,,
1.6837,,,,,,,,,,
1.6936,,1.698625,step 4,,,,,,,
1.7036,,,,,,,,,,
1.7136,,,,,,,,,,
1.7236,,,,,,,,,,
1.7336,,1.738575,,,,,,,,
1.7436,,,,,,,,,,
1.7535,,,,,,,,,,
1.7635,,,,,,,,,,
1.7735,,1.7785,,,,,,,,
1.7835,,,,,,,,,,
1.7935,,,,,,,,,,
1.8034,,,,,,,,,,
1.8134,,1.8184,,,,,,,,
1.8234,,,,,,,,,,
1.8334,,,,,,,,,,
1.8434,,,,,,,,,,
1.8533,,1.858325,,,,,,,,
1.8633,,,,,,,,,,
1.8733,,,,,,,,,,
1.8833,,,,,,,,,,
1.8933,,1.89825,,,,,,,,
1.9032,,,,,,,,,,
1.9132,,,,,,,,,,
1.9232,,,,,,,,,,
1.9332,,1.9382,,,,,,,,
1.9432,,,,,,,,,,
1.9532,,,,,,,,,,
1.9631,,,,,,,,,,
1.9731,,1.9781,,,,,,,,
1.9831,,,,,,,,,,
1.9931,,,,,,,,,,
2.0031,,,,,,,,,,
2.013,,2.018025,,,,,,,,
2.023,,,,,,,,,,
2.033,,,,,,,,,,
2.043,,,,,,,,,,
2.053,,2.05795,,,,,,,,
2.0629,,,,,,,,,,
2.0729,,,,,,,,,,
2.0829,,,,,,,,,,
2.0929,,2.097875,,,,,,,,
2.1029,,,,,,,,,,
2.1128,,,,,,,,,,
2.1228,,,,,,,,,,
2.1328,,2.1378,,,,,,,,
2.1428,,,,,,,,,,
2.1528,,,,,,,,,,
2.1628,,,,,,,,,,
2.1727,,2.177725,,,,,,,,
2.1827,,,,,,,,,,
2.1927,,,,,,,,,,
2.2027,,,,,,,,,,
2.2127,,2.21765,,,,,,,,
2.2226,,,,,,,,,,
2.2326,,,,,,,,,,
2.2426,,,,,,,,,,
2.2526,,2.257575,,,,,,,,
2.2626,,,,,,,,,,
2.2725,,,,,,,,,,
2.2825,,,,,,,,,,
2.2925,,2.2975,,,,,,,,
2.3025,,,,,,,,,,
2.3125,,,,,,,,,,
2.3224,,,,,,,,,,
2.3324,,2.3374,,,,,,,,
2.3424,,,,,,,,,,
2.3524,,,,,,,,,,
2.3624,,,,,,,,,,
2.3724,,2.37735,,,,,,,,
2.3823,,,,,,,,,,
2.3923,,,,,,,,,,
2.4023,,,,,,,,,,
2.4123,,2.417275,,,,,,,,
2.4223,,,,,,,,,,
2.4322,,,,,,,,,,
2.4422,,,,,,,,,,
2.4522,,2.4572,,,,,,,,
2.4622,,,,,,,,,,
2.4722,,,,,,,,,,
2.4821,,,,,,,,,,
2.4921,,2.4971,,,,,,,,
2.5021,,,,,,,,,,
2.5121,,,,,,,,,,
2.5221,,,,,,,,,,
2.532,,2.537025,,,,,,,,
2.542,,,,,,,,,,
2.552,,,,,,,,,,
2.562,,,,,,,,,,
2.572,,2.57695,,,,,,,,
2.5819,,,,,,,,,,
2.5919,,,,,,,,,,
2.6019,,,,,,,,,,
2.6119,,2.6169,,,,,,,,
2.6219,,,,,,,,,,
2.6319,,,,,,,,,,
2.6418,,,,,,,,,,
2.6518,,2.6568,,,,,,,,
2.6618,,,,,,,,,,
2.6718,,,,,,,,,,
2.6818,,,,,,,,,,
2.6917,,2.696725,,,,,,,,
2.7017,,,,,,,,,,
2.7117,,,,,,,,,,
2.7217,,,,,,,,,,
2.7317,,2.73665,,,,,,,,
2.7416,,,,,,,,,,
2.7516,,,,,,,,,,
2.7616,,,,,,,,,,
2.7716,,2.7766,,,,,,,,
2.7816,,,,,,,,,,
2.7916,,,,,,,,,,
2.8015,,,,,,,,,,
2.8115,,2.8165,,,,,,,,
2.8215,,,,,,,,,,
2.8315,,,,,,,,,,
2.8414,,,,,,,,,,
2.8514,,2.8564,,,,,,,,
2.8614,,,,,,,,,,
2.8714,,,,,,,,,,
2.8814,,,,,,,,,,
2.8914,,2.89635,,,,,,,,
2.9013,,,,,,,,,,
2.9113,,,,,,,,,,
2.9213,,,,,,,,,,
2.9313,,2.9363,,,,,,,,
2.9413,,,,,,,,,,
2.9513,,,,,,,,,,
2.9612,,,,,,,,,,
2.9712,,2.9762,,,,,,,,
2.9812,,,,,,,,,,
2.9912,,,,,,,,,,