Wavelength (Âµm),Microcline hs108.13749
0.2211,0.195955
0.2291,0.187665
0.2361,0.178616
0.2421,0.17749
0.2481,0.184264
0.2536,0.197903
0.2586,0.215067
0.2636,0.240047
0.2686,0.265625
0.2731,0.291515
0.2771,0.314117
0.2811,0.3387
0.2851,0.360196
0.2891,0.375613
0.2931,0.389767
0.2971,0.397667
0.3011,0.405406
0.3051,0.414932
0.3091,0.416259
0.3131,0.419996
0.3171,0.427737
0.3211,0.429822
0.3251,0.431076
0.3291,0.434675
0.3331,0.437229
0.3371,0.438814
0.3411,0.438399
0.3451,0.443988
0.3491,0.442683
0.3531,0.446568
0.3571,0.445349
0.3606,0.45046
0.3636,0.448907
0.3666,0.448934
0.3696,0.45152
0.3726,0.453079
0.3756,0.45195
0.3786,0.452586
0.3811,0.452655
0.3831,0.453803
0.3851,0.452619
0.3871,0.457634
0.3891,0.458451
0.3911,0.457841
0.3931,0.461611
0.3951,0.461936
0.3971,0.460164
0.3991,0.464542
0.4011,0.466187
0.4031,0.469327
0.4051,0.468462
0.4071,0.465355
0.4091,0.46907
0.4111,0.470675
0.4128,0.473206
0.4158,0.473499
0.4188,0.476727
0.4218,0.47737
0.4248,0.479724
0.4278,0.482271
0.4308,0.485698
0.4338,0.488085
0.4368,0.489452
0.4398,0.494819
0.4428,0.496533
0.4458,0.497119
0.4488,0.50244
0.4513,0.502836
0.4533,0.506541
0.4553,0.506384
0.4573,0.509059
0.4593,0.508143
0.4613,0.508736
0.4633,0.512207
0.4653,0.513481
0.4673,0.515602
0.4693,0.519209
0.4713,0.51818
0.4733,0.520903
0.4753,0.51952
0.4773,0.524517
0.4793,0.526477
0.4813,0.527044
0.4833,0.528481
0.4853,0.528288
0.4873,0.527524
0.4893,0.532623
0.4913,0.534338
0.4933,0.531408
0.4953,0.535273
0.4973,0.539369
0.4993,0.53719
0.5013,0.539527
0.5033,0.537797
0.5053,0.541932
0.5073,0.542433
0.5093,0.544504
0.5113,0.54567
0.5133,0.54759
0.5153,0.550656
0.5173,0.547143
0.5193,0.554021
0.5213,0.552708
0.5233,0.552965
0.5253,0.554891
0.5273,0.555261
0.5293,0.557763
0.5313,0.562954
0.5333,0.562534
0.5353,0.569299
0.5373,0.570051
0.5393,0.567961
0.5413,0.573446
0.5433,0.580475
0.5453,0.579984
0.5473,0.581472
0.5493,0.59147
0.5513,0.594445
0.5533,0.597347
0.5553,0.602967
0.5573,0.609822
0.5593,0.61608
0.5613,0.620768
0.5633,0.629764
0.5653,0.632928
0.5673,0.641364
0.5693,0.649988
0.5713,0.655111
0.5733,0.660271
0.5753,0.665641
0.5773,0.677372
0.5793,0.6827
0.5813,0.68651
0.5833,0.694935
0.5853,0.694016
0.5873,0.701768
0.5893,0.705915
0.5913,0.714681
0.5933,0.718761
0.5953,0.716388
0.5973,0.720674
0.5993,0.727259
0.6011,0.727978
0.6027,0.72736
0.6043,0.727047
0.6059,0.728188
0.6075,0.727141
0.6091,0.731291
0.6107,0.735313
0.6123,0.736025
0.6139,0.736356
0.6155,0.735512
0.6171,0.735278
0.6187,0.736988
0.6203,0.740181
0.6219,0.738837
0.6235,0.735917
0.6251,0.73953
0.6267,0.737903
0.6283,0.739273
0.6299,0.737333
0.6317,0.742448
0.6337,0.740311
0.6357,0.738245
0.6377,0.741463
0.6397,0.742191
0.6417,0.745588
0.6437,0.742819
0.6457,0.739905
0.6477,0.745534
0.6497,0.744215
0.6517,0.74613
0.6537,0.748213
0.6557,0.744656
0.6577,0.74721
0.6597,0.749999
0.6617,0.750334
0.6637,0.750455
0.6657,0.749616
0.6677,0.754884
0.6702,0.752361
0.6732,0.751257
0.6762,0.755346
0.6792,0.755975
0.6822,0.756191
0.6852,0.754691
0.6882,0.760398
0.6912,0.760473
0.6942,0.761672
0.6972,0.760619
0.7002,0.764179
0.702,0.76298
0.704,0.763678
0.706,0.7614
0.708,0.763815
0.71,0.766071
0.712,0.76701
0.714,0.764123
0.716,0.765361
0.718,0.768978
0.72,0.767425
0.722,0.770815
0.724,0.770029
0.726,0.769835
0.728,0.77215
0.73,0.770509
0.732,0.77254
0.734,0.770793
0.736,0.776816
0.738,0.769837
0.74,0.773596
0.742,0.775312
0.744,0.777624
0.746,0.775325
0.748,0.772536
0.7505,0.775914
0.7535,0.776552
0.7565,0.775091
0.7595,0.775254
0.7625,0.774732
0.7655,0.777342
0.7685,0.775398
0.7715,0.774218
0.7745,0.778823
0.7775,0.777615
0.781,0.776531
0.785,0.780851
0.789,0.78009
0.793,0.782025
0.797,0.781632
0.8015,0.778412
0.8065,0.781158
0.8115,0.777147
0.8165,0.779287
0.822,0.776984
0.828,0.777712
0.835,0.778715
0.843,
0.851,0.780504
0.859,0.778136
0.871,0.779802
0.883,0.777078
0.894,0.780799
0.904,0.776453
0.914,0.775866
0.924,0.781379
0.933,0.77542
0.941,0.781787
0.949,0.780698
0.957,0.779674
0.964,0.782824
0.97,0.778797
0.976,0.78324
0.982,0.780951
0.988,0.782461
0.994,0.778689
1,0.782735
1.006,0.781302
1.012,0.779673
1.018,0.780763
1.0235,0.783985
1.0285,0.778638
1.0335,0.777302
1.0385,0.778757
1.0435,0.78191
1.0485,0.778785
1.0535,0.778339
1.0585,0.781179
1.0635,0.779308
1.0685,0.78174
1.0735,0.779089
1.0785,0.780649
1.0835,0.781331
1.0885,0.776191
1.0935,0.776704
1.0985,0.776249
1.1035,0.781312
1.1085,0.777447
1.1135,0.779465
1.1185,0.777891
1.1235,0.776592
1.1285,0.778569
1.1335,0.778206
1.1385,0.775512
1.1435,0.775899
1.1485,0.778435
1.1535,0.776476
1.1585,0.779175
1.1635,0.77594
1.1685,0.775397
1.1735,0.777832
1.1785,0.777917
1.1835,0.779301
1.1885,0.775957
1.1935,0.778413
1.1985,0.775458
1.2035,0.776949
1.2085,0.776658
1.2135,0.779834
1.2185,0.774466
1.2235,0.776265
1.2285,0.779116
1.2335,0.77806
1.2385,0.777477
1.2435,0.783947
1.2485,0.781864
1.2535,0.779866
1.2585,0.779333
1.2635,0.778919
1.2685,0.780388
1.2735,0.780135
1.2785,0.781579
1.2835,0.777658
1.2885,0.779214
1.2935,0.779837
1.2985,0.779734
1.3035,0.782588
1.3085,0.780556
1.3135,0.780869
1.3185,0.780817
1.3235,0.782876
1.3285,0.783355
1.3335,0.780744
1.3385,0.777785
1.3435,0.784399
1.3485,0.779994
1.3535,0.781502
1.3585,0.778457
1.3635,0.777677
1.3685,0.780257
1.3735,0.783219
1.3785,0.785325
1.3835,0.782506
1.3885,0.776624
1.3935,0.777252
1.3985,0.777935
1.4035,0.773303
1.4085,0.77311
1.4135,0.769443
1.4185,0.771692
1.4235,0.771082
1.4285,0.772868
1.4335,0.769508
1.4385,0.770526
1.4435,0.772378
1.4485,0.773277
1.4535,0.773093
1.4585,0.775127
1.4635,0.772269
1.4685,0.77038
1.4735,0.778512
1.4785,0.77323
1.4835,0.778468
1.4885,0.781713
1.4935,0.779769
1.4985,0.778251
1.5035,0.782118
1.5085,0.779726
1.5135,0.777811
1.5185,0.778957
1.5235,0.785578
1.5285,0.783029
1.534,0.785642
1.54,0.786494
1.546,0.788691
1.552,0.784963
1.558,0.788301
1.564,0.788466
1.5705,0.789319
1.5775,0.78778
1.5845,0.788945
1.5915,0.790611
1.5985,0.789341
1.6055,0.79078
1.6125,0.790324
1.6195,0.792449
1.6265,0.790386
1.6335,0.792768
1.6405,0.794097
1.6475,0.791871
1.6545,0.792841
1.6615,0.796109
1.6685,0.793092
1.676,0.79678
1.684,0.791019
1.692,0.790228
1.7,0.79658
1.708,0.793069
1.716,0.794397
1.724,0.79474
1.732,0.791824
1.74,0.795002
1.748,0.796312
1.756,0.792783
1.764,0.793913
1.772,0.795112
1.78,0.792699
1.788,0.792706
1.796,0.796499
1.805,0.796692
1.815,0.79274
1.825,0.792123
1.835,0.795294
1.845,0.793629
1.855,0.796944
1.865,0.79093
1.875,0.791244
1.885,0.779539
1.895,0.780276
1.905,0.761135
1.915,0.745018
1.925,0.736836
1.935,0.736556
1.945,0.732714
1.955,0.7365
1.965,0.740832
1.975,0.750258
1.985,0.754278
1.995,0.758904
2.005,0.763129
2.015,0.768611
2.025,0.771681
2.035,0.777348
2.045,0.784409
2.055,0.781849
2.065,0.785304
2.075,0.786149
2.085,0.788979
2.095,0.793945
2.105,0.791053
2.115,0.796991
2.125,0.792966
2.135,0.793436
2.145,0.795853
2.155,0.799677
2.165,0.790541
2.175,0.794451
2.185,0.787249
2.195,0.780785
2.205,0.778479
2.215,0.779457
2.225,0.783771
2.235,0.776727
2.245,0.783008
2.255,0.784117
2.265,0.784553
2.275,0.782411
2.285,0.779703
2.295,0.783894
2.305,0.788544
2.315,0.783762
2.325,0.784518
2.335,0.775733
2.345,0.783346
2.355,0.776684
2.365,0.777764
2.375,0.780137
2.386,0.776087
2.4,0.771015
2.418,0.768472
2.44,0.755618
2.466,0.749507
2.496,0.746073
2.528,0.732365
2.56,0.730706
2.592,0.720093
2.624,0.716854
2.656,0.697563
2.688,0.637324
2.72,0.49951
2.752,0.355126
2.784,0.269584
2.816,0.236953
2.848,0.2121
2.88,0.204364
2.912,0.169525
2.944,0.188859
2.976,0.190375