Wavelength (nm),"Mauna Iki, HI basaltic glass JB388B 150-250 µm"
310,0.034761
315,0.03498
320,0.035227
325,0.035601
330,0.035956
335,0.03625
340,0.036473
345,0.036678
350,0.036801
355,0.036869
360,0.036892
365,0.036941
370,0.037011
375,0.037099
380,0.037182
385,0.037281
390,0.037414
395,0.037591
400,0.037766
405,0.037943
410,0.038123
415,0.038217
420,0.038309
425,0.038473
430,0.038647
435,0.038809
440,0.039059
445,0.039414
450,0.039705
455,0.03997
460,0.04036
465,0.040755
470,0.04102
475,0.041337
480,0.04167
485,0.041922
490,0.042209
495,0.04257
500,0.042927
505,0.043323
510,0.043781
515,0.04425
520,0.044726
525,0.045202
530,0.045718
535,0.046189
540,0.04659
545,0.046976
550,0.047394
555,0.047885
560,0.048486
565,0.049063
570,0.04958
575,0.050003
580,0.050286
585,0.050456
590,0.050698
595,0.05103
600,0.051407
605,0.051925
610,0.05255
615,0.053308
620,0.054002
625,0.054627
630,0.054842
635,0.054936
640,0.054648
645,0.054567
650,0.05453
655,0.054573
660,0.054575
665,0.054687
670,0.05453
675,0.054316
680,0.054237
685,0.054175
690,0.054285
695,0.054509
700,0.054797
705,0.055086
710,0.05523
715,0.055213
720,0.055091
725,0.054903
730,0.054678
735,0.054584
740,0.054489
745,0.054361
750,0.054211
755,0.054083
760,0.053902
765,0.053675
770,0.053443
775,0.053217
780,0.05295
785,0.052688
790,0.052458
795,0.052203
800,0.051963
805,0.05176
810,0.051553
815,0.051327
820,0.051149
825,0.050942
830,0.050716
835,0.050498
840,0.050296
845,0.050073
850,0.049871
855,0.049647
860,0.049413
865,0.049194
870,0.048918
875,0.04874
880,0.048278
883.16,0.047927
883.46,0.047207
885.57,0.047795
885.87,0.048356
887.09,0.048918
888,0.048382
888.3,0.048254
888.61,0.047974
888.91,0.0485
889.22,0.048896
889.52,0.048961
889.83,0.04865
890.13,0.048665
890.44,0.04844
890.74,0.047935
891.05,0.047905
891.36,0.048325
891.66,0.04804
891.97,0.047182
892.28,0.046297
894.74,0.046666
895.05,0.047158
895.36,0.048329
896.6,0.048984
896.91,0.048935
897.22,0.048552
897.53,0.048106
897.84,0.047761
898.15,0.047003
898.46,0.04638
899.71,0.046451
900.02,0.046467
900.34,0.046613
900.65,0.047139
900.96,0.046971
901.28,0.046553
901.59,0.046185
904.74,0.046282
905.05,0.046796
905.37,0.046686
905.68,0.046608
906,0.046966
906.32,0.046502
908.86,0.046507
909.18,0.047224
909.5,0.04796
909.82,0.048633
910.78,0.048342
911.1,0.047659
911.42,0.046867
912.38,0.046438
912.7,0.046421
913.02,0.046119
914.31,0.046066
914.63,0.046527
914.96,0.046316
915.28,0.04606
915.6,0.046332
915.92,0.046332
916.25,0.046847
919.83,0.046136
921.46,0.046138
921.79,0.046381
922.12,0.046206
922.44,0.04673
922.77,0.04753
923.1,0.048135
925.08,0.047791
925.41,0.048391
925.74,0.046813
926.07,0.044278
926.4,0.04613
930.06,0.046137
933.07,0.04607
933.41,0.046069
936.1,0.046208
936.44,0.047387
936.78,0.047712
937.12,0.047043
937.46,0.046345
937.8,0.046067
938.14,0.045687
938.47,0.0452
938.81,0.045312
939.15,0.045569
939.5,0.045626
939.84,0.045688
940.18,0.045824
940.52,0.045671
940.86,0.045171
941.2,0.044808
941.54,0.044603
941.88,0.044853
942.23,0.04524
942.57,0.045636
942.91,0.045692
943.26,0.045612
943.6,0.045458
943.94,0.045577
944.29,0.04586
944.63,0.046396
944.98,0.046859
945.32,0.046973
945.66,0.046995
946.01,0.046927
946.36,0.046499
946.7,0.04644
947.05,0.04667
947.39,0.046611
947.74,0.046785
948.09,0.047151
948.43,0.04724
948.78,0.047268
949.13,0.047088
949.48,0.046626
949.82,0.046477
950.17,0.04658
950.52,0.046448
950.87,0.046429
951.22,0.046668
951.57,0.046735
951.92,0.046361
952.27,0.046297
952.62,0.046534
952.97,0.046608
953.32,0.04672
953.67,0.046943
954.02,0.046779
954.37,0.046342
954.72,0.046262
955.07,0.046227
955.42,0.046162
955.78,0.046145
956.13,0.046037
956.48,0.045687
956.84,0.04553
957.19,0.04574
957.54,0.046195
957.9,0.046849
958.25,0.047378
958.6,0.047769
958.96,0.047976
959.31,0.047682
959.67,0.047409
960.03,0.047406
960.38,0.047195
960.74,0.046694
961.09,0.046603
961.45,0.046727
961.81,0.04684
962.16,0.046921
962.52,0.046955
962.88,0.046928
963.24,0.046644
963.59,0.046349
963.95,0.046058
964.31,0.045858
964.67,0.045695
965.03,0.045606
965.39,0.045529
965.75,0.045534
966.11,0.045684
966.47,0.045963
966.83,0.046087
967.19,0.045992
967.55,0.045925
967.91,0.045952
968.27,0.04586
968.64,0.045666
969,0.045243
969.36,0.044993
969.72,0.04498
970.09,0.045002
970.45,0.04499
970.81,0.045459
971.18,0.046064
971.54,0.046122
971.9,0.046038
972.27,0.046319
972.63,0.046472
973,0.046332
973.36,0.046115
973.73,0.045839
974.1,0.045395
974.46,0.045001
974.83,0.044579
975.19,0.044498
975.56,0.045023
975.93,0.045531
976.3,0.045743
976.66,0.046042
977.03,0.046561
977.4,0.046505
977.77,0.046313
978.14,0.046358
978.51,0.046526
978.88,0.046294
979.25,0.046228
979.62,0.046521
979.99,0.04655
980.36,0.046095
980.73,0.045783
981.1,0.045582
981.47,0.045394
981.84,0.045374
982.22,0.045641
982.59,0.046153
982.96,0.046614
983.33,0.04664
983.71,0.046444
984.08,0.046188
984.45,0.045737
984.83,0.045125
985.2,0.044735
985.58,0.044822
985.95,0.045198
986.33,0.04563
986.7,0.045939
987.08,0.045875
987.45,0.045682
987.83,0.045426
988.21,0.045186
988.58,0.045233
988.96,0.045444
989.34,0.045374
989.72,0.045233
990.09,0.045098
990.47,0.044911
990.85,0.044958
991.23,0.045067
991.61,0.045055
991.99,0.044993
992.37,0.045025
992.75,0.045329
993.13,0.045682
993.51,0.045707
993.89,0.045743
994.27,0.04567
994.65,0.045219
995.04,0.044894
995.42,0.044815
995.8,0.044639
996.18,0.044648
996.57,0.044733
996.95,0.044896
997.33,0.045238
997.72,0.045613
998.1,0.045757
998.49,0.045907
998.87,0.045824
999.26,0.04539
999.64,0.044976
1000,0.044731
1000.4,0.044631
1000.8,0.044529
1001.2,0.044655
1001.6,0.044795
1002,0.0448
1002.3,0.044816
1002.7,0.044915
1003.1,0.044953
1003.5,0.044938
1003.9,0.044919
1004.3,0.044732
1004.7,0.044523
1005.1,0.044504
1005.5,0.044689
1005.8,0.045038
1006.2,0.045457
1006.6,0.045912
1007,0.045975
1007.4,0.045798
1007.8,0.045542
1008.2,0.045179
1008.6,0.044753
1009,0.044675
1009.4,0.044719
1009.8,0.04471
1010.2,0.044803
1010.6,0.045092
1010.9,0.04542
1011.3,0.04547
1011.7,0.045445
1012.1,0.045401
1012.5,0.045375
1012.9,0.045455
1013.3,0.045649
1013.7,0.045814
1014.1,0.045809
1014.5,0.045559
1014.9,0.045382
1015.3,0.045449
1015.7,0.04542
1016.1,0.045506
1016.5,0.045829
1016.9,0.045954
1017.3,0.045876
1017.7,0.045971
1018.1,0.046066
1018.5,0.045869
1018.9,0.045617
1019.3,0.045453
1019.7,0.045247
1020.1,0.045193
1020.5,0.045279
1020.9,0.045359
1021.3,0.045552
1021.7,0.045921
1022.1,0.046232
1022.5,0.046361
1022.9,0.046227
1023.3,0.045923
1023.7,0.04553
1024.1,0.044965
1024.5,0.044494
1024.9,0.044333
1025.3,0.044294
1025.7,0.044397
1026.2,0.044634
1026.6,0.044791
1027,0.044933
1027.4,0.045012
1027.8,0.044794
1028.2,0.044409
1028.6,0.044222
1029,0.044211
1029.4,0.044447
1029.8,0.0449
1030.2,0.045282
1030.6,0.045486
1031.1,0.045635
1031.5,0.04553
1031.9,0.045215
1032.3,0.044967
1032.7,0.044857
1033.1,0.044554
1033.5,0.044398
1033.9,0.044467
1034.3,0.04469
1034.8,0.044939
1035.2,0.045245
1035.6,0.045311
1036,0.0452
1036.4,0.045068
1036.8,0.044898
1037.2,0.044758
1037.7,0.044861
1038.1,0.044982
1038.5,0.044907
1038.9,0.044827
1039.3,0.044858
1039.7,0.044849
1040.2,0.044836
1040.6,0.045021
1041,0.045282
1041.4,0.045261
1041.8,0.044916
1042.2,0.044767
1042.7,0.044816
1043.1,0.044805
1043.5,0.04477
1043.9,0.044912
1044.3,0.045038
1044.8,0.044964
1045.2,0.044908
1045.6,0.045019
1046,0.045182
1046.5,0.045277
1046.9,0.04515
1047.3,0.045003
1047.7,0.04495
1048.1,0.044773
1048.6,0.044568
1049,0.044741
1049.4,0.044825
1049.8,0.044707
1050.3,0.044659
1050.7,0.044589
1051.1,0.044321
1051.5,0.044266
1052,0.044514
1052.4,0.044848
1052.8,0.044997
1053.3,0.045048
1053.7,0.045106
1054.1,0.045017
1054.5,0.04492
1055,0.045012
1055.4,0.045226
1055.8,0.045131
1056.3,0.044911
1056.7,0.044721
1057.1,0.04456
1057.6,0.044258
1058,0.044073
1058.4,0.044061
1058.9,0.044087
1059.3,0.044226
1059.7,0.044724
1060.2,0.045151
1060.6,0.045346
1061,0.045368
1061.5,0.045221
1061.9,0.044844
1062.3,0.044637
1062.8,0.044642
1063.2,0.044665
1063.6,0.044843
1064.1,0.045057
1064.5,0.045113
1064.9,0.045162
1065.4,0.045296
1065.8,0.045167
1066.3,0.044962
1066.7,0.044935
1067.1,0.044855
1067.6,0.044774
1068,0.044763
1068.5,0.044844
1068.9,0.044998
1069.3,0.04511
1069.8,0.04505
1070.2,0.044918
1070.7,0.044711
1071.1,0.044324
1071.5,0.044095
1072,0.044176
1072.4,0.044287
1072.9,0.0442
1073.3,0.044137
1073.8,0.044019
1074.2,0.043818
1074.7,0.043646
1075.1,0.043734
1075.5,0.044026
1076,0.044304
1076.4,0.044376
1076.9,0.04438
1077.3,0.044345
1077.8,0.044198
1078.2,0.044048
1078.7,0.044067
1079.1,0.044134
1079.6,0.044155
1080,0.04429
1080.5,0.044502
1080.9,0.044588
1081.4,0.044602
1081.8,0.044761
1082.3,0.044717
1082.7,0.044359
1083.2,0.044124
1083.6,0.044147
1084.1,0.044081
1084.5,0.043997
1085,0.044107
1085.5,0.044225
1085.9,0.044265
1086.4,0.044247
1086.8,0.044334
1087.3,0.044399
1087.7,0.044348
1088.2,0.044412
1088.6,0.044608
1089.1,0.044495
1089.6,0.044388
1090,0.044471
1090.5,0.044374
1090.9,0.044123
1091.4,0.044177
1091.9,0.044308
1092.3,0.044265
1092.8,0.044335
1093.2,0.0445
1093.7,0.044475
1094.2,0.044308
1094.6,0.044298
1095.1,0.044342
1095.5,0.044398
1096,0.044526
1096.5,0.04466
1096.9,0.044693
1097.4,0.04457
1097.9,0.044283
1098.3,0.043947
1098.8,0.043902
1099.3,0.043947
1099.7,0.04392
1100.2,0.044176
1100.7,0.044548
1101.1,0.044515
1101.6,0.044482
1102.1,0.044572
1102.5,0.044411
1103,0.044316
1103.5,0.044492
1103.9,0.044528
1104.4,0.04445
1104.9,0.044508
1105.4,0.044557
1105.8,0.044377
1106.3,0.044152
1106.8,0.044047
1107.2,0.044018
1107.7,0.043859
1108.2,0.04377
1108.7,0.043816
1109.1,0.043852
1109.6,0.04392
1110.1,0.044173
1110.6,0.044441
1111,0.044518
1111.5,0.044536
1112,0.044454
1112.5,0.044351
1113,0.044382
1113.4,0.04455
1113.9,0.044596
1114.4,0.044595
1114.9,0.044532
1115.3,0.044368
1115.8,0.044239
1116.3,0.044237
1116.8,0.044213
1117.3,0.04422
1117.8,0.044188
1118.2,0.044133
1118.7,0.044197
1119.2,0.044233
1119.7,0.044196
1120.2,0.044265
1120.7,0.044253
1121.1,0.044153
1121.6,0.044163
1122.1,0.04421
1122.6,0.044153
1123.1,0.044108
1123.6,0.044074
1124.1,0.043983
1124.5,0.043909
1125,0.044018
1125.5,0.044307
1126,0.044561
1126.5,0.044711
1127,0.044824
1127.5,0.044821
1128,0.044533
1128.5,0.044205
1128.9,0.044059
1129.4,0.043956
1129.9,0.043867
1130.4,0.043953
1130.9,0.044116
1131.4,0.04428
1131.9,0.044364
1132.4,0.044284
1132.9,0.04409
1133.4,0.043953
1133.9,0.043991
1134.4,0.044111
1134.9,0.044306
1135.4,0.044505
1135.9,0.044634
1136.4,0.044536
1136.9,0.044336
1137.4,0.044137
1137.9,0.044086
1138.4,0.044113
1138.9,0.044143
1139.4,0.044213
1139.9,0.04442
1140.4,0.044583
1140.9,0.044565
1141.4,0.04445
1141.9,0.044302
1142.4,0.044099
1142.9,0.043929
1143.4,0.043885
1143.9,0.043874
1144.4,0.043836
1144.9,0.043773
1145.4,0.043751
1145.9,0.043749
1146.4,0.043712
1146.9,0.043778
1147.4,0.043958
1147.9,0.044024
1148.5,0.044036
1149,0.044178
1149.5,0.044285
1150,0.04427
1150.5,0.04423
1151,0.044046
1151.5,0.04377
1152,0.043628
1152.5,0.043555
1153.1,0.043512
1153.6,0.043634
1154.1,0.04385
1154.6,0.043912
1155.1,0.043881
1155.6,0.043885
1156.1,0.043872
1156.7,0.043794
1157.2,0.043835
1157.7,0.043947
1158.2,0.044069
1158.7,0.044129
1159.2,0.044093
1159.8,0.044035
1160.3,0.044063
1160.8,0.043925
1161.3,0.043792
1161.8,0.04386
1162.4,0.043917
1162.9,0.043765
1163.4,0.043749
1163.9,0.043813
1164.5,0.043824
1165,0.043754
1165.5,0.043817
1166,0.043927
1166.5,0.043963
1167.1,0.044013
1167.6,0.044018
1168.1,0.043914
1168.7,0.043801
1169.2,0.043725
1169.7,0.043592
1170.2,0.043566
1170.8,0.043616
1171.3,0.04368
1171.8,0.043741
1172.4,0.043934
1172.9,0.044182
1173.4,0.044338
1173.9,0.044298
1174.5,0.044165
1175,0.043993
1175.5,0.043726
1176.1,0.043545
1176.6,0.043563
1177.1,0.043691
1177.7,0.043695
1178.2,0.04378
1178.7,0.043937
1179.3,0.044037
1179.8,0.044084
1180.4,0.044154
1180.9,0.044181
1181.4,0.044085
1182,0.044005
1182.5,0.044067
1183.1,0.044183
1183.6,0.044235
1184.1,0.044226
1184.7,0.044155
1185.2,0.043961
1185.8,0.043682
1186.3,0.043566
1186.8,0.043574
1187.4,0.043621
1187.9,0.043761
1188.5,0.043882
1189,0.043813
1189.6,0.04374
1190.1,0.043767
1190.7,0.04377
1191.2,0.0438
1191.8,0.043919
1192.3,0.044061
1192.9,0.044063
1193.4,0.044047
1194,0.044119
1194.5,0.04416
1195.1,0.044097
1195.6,0.043915
1196.2,0.0437
1196.7,0.043519
1197.3,0.043392
1197.8,0.043389
1198.4,0.04355
1198.9,0.043671
1199.5,0.043657
1200,0.043678
1200.6,0.043767
1201.1,0.043826
1201.7,0.043913
1202.3,0.044107
1202.8,0.044246
1203.4,0.044158
1203.9,0.044061
1204.5,0.044036
1205.1,0.043922
1205.6,0.043717
1206.2,0.043654
1206.7,0.0438
1207.3,0.043906
1207.9,0.043989
1208.4,0.044106
1209,0.044218
1209.6,0.044229
1210.1,0.044174
1210.7,0.044062
1211.2,0.043922
1211.8,0.043799
1212.4,0.043643
1212.9,0.043726
1213.5,0.0439
1214.1,0.044055
1214.7,0.044191
1215.2,0.044268
1215.8,0.044123
1216.4,0.044051
1216.9,0.044031
1217.5,0.04394
1218.1,0.043878
1218.6,0.043887
1219.2,0.04382
1219.8,0.043765
1220.4,0.043832
1220.9,0.043884
1221.5,0.04386
1222.1,0.043879
1222.7,0.04392
1223.3,0.043837
1223.8,0.043789
1224.4,0.043867
1225,0.043809
1225.6,0.043735
1226.1,0.043842
1226.7,0.043908
1227.3,0.043852
1227.9,0.043882
1228.5,0.043876
1229.1,0.043722
1229.6,0.043711
1230.2,0.043845
1230.8,0.043941
1231.4,0.04398
1232,0.044041
1232.6,0.044036
1233.1,0.043988
1233.7,0.044031
1234.3,0.044151
1234.9,0.044273
1235.5,0.04432
1236.1,0.044341
1236.7,0.044356
1237.3,0.044305
1237.9,0.04419
1238.4,0.04411
1239,0.044039
1239.6,0.043971
1240.2,0.043924
1240.8,0.043888
1241.4,0.043879
1242,0.04393
1242.6,0.043938
1243.2,0.043917
1243.8,0.043966
1244.4,0.043996
1245,0.043901
1245.6,0.043826
1246.2,0.043841
1246.8,0.043808
1247.4,0.043714
1248,0.04368
1248.6,0.043672
1249.2,0.043622
1249.8,0.043574
1250.4,0.043611
1251,0.043637
1251.6,0.043554
1252.2,0.043457
1252.8,0.043418
1253.4,0.043464
1254,0.043542
1254.6,0.043679
1255.2,0.043802
1255.8,0.043945
1256.5,0.043952
1257.1,0.043824
1257.7,0.043791
1258.3,0.043858
1258.9,0.043846
1259.5,0.043809
1260.1,0.043873
1260.7,0.043878
1261.3,0.04384
1262,0.043826
1262.6,0.043837
1263.2,0.043748
1263.8,0.043622
1264.4,0.043549
1265,0.043558
1265.7,0.043689
1266.3,0.043842
1266.9,0.043898
1267.5,0.043922
1268.1,0.04398
1268.8,0.043912
1269.4,0.043835
1270,0.04386
1270.6,0.043908
1271.2,0.043846
1271.9,0.043802
1272.5,0.043811
1273.1,0.043815
1273.7,0.043798
1274.4,0.043801
1275,0.043849
1275.6,0.043915
1276.3,0.043954
1276.9,0.043937
1277.5,0.043854
1278.1,0.04371
1278.8,0.043585
1279.4,0.043569
1280,0.043621
1280.7,0.04367
1281.3,0.043791
1281.9,0.043905
1282.6,0.044009
1283.2,0.04408
1283.8,0.04414
1284.5,0.044109
1285.1,0.04412
1285.7,0.044147
1286.4,0.044156
1287,0.044121
1287.7,0.044105
1288.3,0.044028
1288.9,0.043932
1289.6,0.043936
1290.2,0.043951
1290.9,0.043955
1291.5,0.043992
1292.2,0.043995
1292.8,0.043895
1293.4,0.043924
1294.1,0.043988
1294.7,0.044018
1295.4,0.044015
1296,0.044058
1296.7,0.044012
1297.3,0.043944
1298,0.043923
1298.6,0.04388
1299.3,0.043825
1299.9,0.043886
1300.6,0.044018
1301.2,0.044095
1301.9,0.044122
1302.5,0.044088
1303.2,0.043993
1303.9,0.043842
1304.5,0.043661
1305.2,0.043524
1305.8,0.0435
1306.5,0.043621
1307.1,0.043717
1307.8,0.043821
1308.5,0.043999
1309.1,0.044078
1309.8,0.044007
1310.4,0.043997
1311.1,0.044069
1311.8,0.044104
1312.4,0.044164
1313.1,0.044257
1313.8,0.044307
1314.4,0.044314
1315.1,0.044285
1315.8,0.044209
1316.4,0.044116
1317.1,0.044013
1317.8,0.043884
1318.4,0.043873
1319.1,0.043958
1319.8,0.043982
1320.5,0.043955
1321.1,0.043994
1321.8,0.043954
1322.5,0.043898
1323.2,0.043968
1323.8,0.044164
1324.5,0.044335
1325.2,0.044552
1325.9,0.044647
1326.5,0.04458
1327.2,0.044448
1327.9,0.044282
1328.6,0.044093
1329.3,0.043992
1329.9,0.043965
1330.6,0.043981
1331.3,0.043995
1332,0.04401
1332.7,0.04402
1333.4,0.044065
1334.1,0.044124
1334.7,0.044185
1335.4,0.044167
1336.1,0.044115
1336.8,0.044034
1337.5,0.043985
1338.2,0.043991
1338.9,0.044027
1339.6,0.044096
1340.3,0.044182
1341,0.044223
1341.6,0.04421
1342.3,0.044238
1343,0.044329
1343.7,0.044405
1344.4,0.04439
1345.1,0.044405
1345.8,0.044453
1346.5,0.044446
1347.2,0.044451
1347.9,0.044525
1348.6,0.044503
1349.3,0.044397
1350,0.044358
1350.7,0.044343
1351.4,0.044314
1352.1,0.044375
1352.9,0.044442
1353.6,0.044398
1354.3,0.044397
1355,0.044403
1355.7,0.044348
1356.4,0.044319
1357.1,0.044408
1357.8,0.044429
1358.5,0.044441
1359.2,0.044453
1360,0.044475
1360.7,0.044457
1361.4,0.044469
1362.1,0.044507
1362.8,0.044538
1363.5,0.044566
1364.2,0.044616
1365,0.044639
1365.7,0.044599
1366.4,0.044624
1367.1,0.044687
1367.8,0.044647
1368.6,0.044506
1369.3,0.044394
1370,0.044316
1370.7,0.04422
1371.5,0.04414
1372.2,0.044129
1372.9,0.044212
1373.6,0.044322
1374.4,0.044413
1375.1,0.044514
1375.8,0.044603
1376.6,0.044628
1377.3,0.04464
1378,0.044708
1378.8,0.044806
1379.5,0.044895
1380.2,0.044906
1381,0.044815
1381.7,0.044713
1382.4,0.044692
1383.2,0.044694
1383.9,0.044739
1384.7,0.044831
1385.4,0.044842
1386.1,0.044776
1386.9,0.044724
1387.6,0.044682
1388.4,0.044704
1389.1,0.044776
1389.8,0.044832
1390.6,0.044907
1391.3,0.044988
1392.1,0.044974
1392.8,0.044937
1393.6,0.044918
1394.3,0.044829
1395.1,0.044743
1395.8,0.044776
1396.6,0.044839
1397.3,0.044869
1398.1,0.044938
1398.8,0.045023
1399.6,0.045033
1400.4,0.045058
1401.1,0.045116
1401.9,0.045086
1402.6,0.045019
1403.4,0.044952
1404.2,0.044862
1404.9,0.044753
1405.7,0.044765
1406.4,0.044811
1407.2,0.044872
1408,0.044994
1408.7,0.045116
1409.5,0.045113
1410.3,0.045065
1411,0.045014
1411.8,0.044902
1412.6,0.044855
1413.3,0.044948
1414.1,0.045048
1414.9,0.045088
1415.7,0.045133
1416.4,0.045226
1417.2,0.045256
1418,0.045285
1418.8,0.045404
1419.5,0.045502
1420.3,0.045462
1421.1,0.045438
1421.9,0.045476
1422.6,0.045417
1423.4,0.045311
1424.2,0.045312
1425,0.045349
1425.8,0.045311
1426.6,0.045313
1427.3,0.045378
1428.1,0.045365
1428.9,0.045368
1429.7,0.045449
1430.5,0.045485
1431.3,0.045463
1432.1,0.045456
1432.9,0.045381
1433.7,0.045283
1434.5,0.045237
1435.3,0.045259
1436,0.045328
1436.8,0.045418
1437.6,0.045487
1438.4,0.045534
1439.2,0.045516
1440,0.045478
1440.8,0.045442
1441.6,0.045411
1442.4,0.045376
1443.2,0.045357
1444,0.045354
1444.9,0.045348
1445.7,0.045281
1446.5,0.045282
1447.3,0.045366
1448.1,0.04543
1448.9,0.045488
1449.7,0.045676
1450.5,0.045899
1451.3,0.045993
1452.1,0.045992
1453,0.046
1453.8,0.045937
1454.6,0.045794
1455.4,0.045769
1456.2,0.045849
1457,0.045924
1457.9,0.045989
1458.7,0.046081
1459.5,0.046122
1460.3,0.0461
1461.1,0.046093
1462,0.046163
1462.8,0.046224
1463.6,0.046228
1464.4,0.046215
1465.3,0.046171
1466.1,0.046103
1466.9,0.046019
1467.8,0.045968
1468.6,0.04597
1469.4,0.045977
1470.3,0.04593
1471.1,0.045875
1471.9,0.045868
1472.8,0.045893
1473.6,0.045952
1474.4,0.046047
1475.3,0.046171
1476.1,0.046273
1477,0.046312
1477.8,0.046336
1478.6,0.046357
1479.5,0.04635
1480.3,0.046301
1481.2,0.046264
1482,0.046196
1482.9,0.046118
1483.7,0.046081
1484.6,0.046084
1485.4,0.046095
1486.3,0.046135
1487.1,0.046153
1488,0.046145
1488.8,0.046155
1489.7,0.046177
1490.6,0.046215
1491.4,0.046306
1492.3,0.046356
1493.1,0.046356
1494,0.046365
1494.8,0.046347
1495.7,0.046293
1496.6,0.046249
1497.4,0.04624
1498.3,0.046307
1499.2,0.046393
1500,0.046486
1500.9,0.046565
1501.8,0.046644
1502.6,0.046597
1503.5,0.046474
1504.4,0.046385
1505.3,0.046346
1506.1,0.046302
1507,0.046346
1507.9,0.046434
1508.8,0.046505
1509.6,0.046572
1510.5,0.046646
1511.4,0.046651
1512.3,0.046683
1513.2,0.046696
1514.1,0.046697
1514.9,0.046712
1515.8,0.046767
1516.7,0.046786
1517.6,0.046777
1518.5,0.046785
1519.4,0.046816
1520.3,0.046848
1521.2,0.046852
1522.1,0.046837
1523,0.046846
1523.8,0.046881
1524.7,0.046898
1525.6,0.046913
1526.5,0.046955
1527.4,0.046916
1528.3,0.046834
1529.2,0.046781
1530.1,0.046774
1531,0.046814
1532,0.046908
1532.9,0.046984
1533.8,0.046971
1534.7,0.046953
1535.6,0.046965
1536.5,0.046993
1537.4,0.047035
1538.3,0.047102
1539.2,0.047129
1540.1,0.047126
1541.1,0.047143
1542,0.047167
1542.9,0.047171
1543.8,0.047177
1544.7,0.047158
1545.7,0.047068
1546.6,0.046964
1547.5,0.046987
1548.4,0.047037
1549.4,0.047031
1550.3,0.047002
1551.2,0.046972
1552.1,0.046899
1553.1,0.046876
1554,0.046985
1554.9,0.047094
1555.9,0.047123
1556.8,0.047182
1557.7,0.047237
1558.7,0.047184
1559.6,0.047083
1560.5,0.047005
1561.5,0.046877
1562.4,0.046749
1563.4,0.046718
1564.3,0.046791
1565.3,0.046901
1566.2,0.047019
1567.2,0.047139
1568.1,0.047194
1569,0.047238
1570,0.04728
1570.9,0.047302
1571.9,0.047237
1572.9,0.047192
1573.8,0.047151
1574.8,0.047115
1575.7,0.047118
1576.7,0.047119
1577.6,0.047082
1578.6,0.047044
